,location,total_sqft,bath,price,bhk
0,Electronic City Phase II,1056.0,2.0,39.07,2
1,Chikka Tirupathi,2600.0,5.0,120.0,4
2,Uttarahalli,1440.0,2.0,62.0,3
3,Lingadheeranahalli,1521.0,3.0,95.0,3
4,Kothanur,1200.0,2.0,51.0,2
5,Whitefield,1170.0,2.0,38.0,2
6,Old Airport Road,2732.0,4.0,204.0,4
7,Rajaji Nagar,3300.0,4.0,600.0,4
8,Marathahalli,1310.0,3.0,63.25,3
9,other,1020.0,6.0,370.0,6
10,Whitefield,1800.0,2.0,70.0,3
11,Whitefield,2785.0,5.0,295.0,4
12,7th Phase JP Nagar,1000.0,2.0,38.0,2
13,Gottigere,1100.0,2.0,40.0,2
14,Sarjapur,2250.0,3.0,148.0,3
15,Mysore Road,1175.0,2.0,73.5,2
16,Bisuvanahalli,1180.0,3.0,48.0,3
17,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3
18,other,2770.0,4.0,290.0,3
19,other,1100.0,2.0,48.0,2
20,Kengeri,600.0,1.0,15.0,1
21,Binny Pete,1755.0,3.0,122.0,3
22,Thanisandra,2800.0,5.0,380.0,4
23,Bellandur,1767.0,3.0,103.0,3
24,Thanisandra,510.0,1.0,25.25,1
25,other,1250.0,3.0,56.0,3
26,Electronic City,660.0,1.0,23.1,2
27,Whitefield,1610.0,3.0,81.0,3
28,Ramagondanahalli,1151.0,2.0,48.77,2
29,Electronic City,1025.0,2.0,47.0,3
30,Yelahanka,2475.0,4.0,186.0,4
31,Bisuvanahalli,1075.0,2.0,35.0,3
32,Hebbal,1760.0,2.0,123.0,3
33,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3
34,Kasturi Nagar,1925.0,3.0,125.0,3
35,Kanakpura Road,700.0,2.0,36.0,2
36,Electronics City Phase 1,1070.0,2.0,45.5,2
37,Kundalahalli,1724.0,3.0,125.0,3
38,Chikkalasandra,1290.0,2.0,56.12,3
39,Uttarahalli,1143.0,2.0,45.0,2
40,Murugeshpalya,1296.0,2.0,81.0,2
41,Sarjapur  Road,1254.0,3.0,38.0,3
42,Ganga Nagar,600.0,1.0,38.0,1
43,Yelahanka,660.0,1.0,48.0,1
44,Kanakpura Road,1330.74,2.0,91.79,2
45,HSR Layout,600.0,9.0,200.0,8
46,Doddathoguru,970.0,2.0,33.0,2
47,Whitefield,1459.0,2.0,94.82,2
48,KR Puram,800.0,1.0,130.0,2
49,other,869.0,2.0,36.0,2
50,other,1270.0,2.0,50.0,2
51,Bhoganhalli,1670.0,3.0,99.0,3
52,Whitefield,2010.0,3.0,91.0,3
53,Lakshminarayana Pura,1185.0,2.0,75.0,2
54,Yelahanka,1600.0,2.0,75.0,3
55,Begur Road,1200.0,2.0,44.0,2
56,Devanahalli,3210.0,2.0,192.0,4
57,other,1500.0,2.0,185.0,2
58,Murugeshpalya,1407.0,4.0,150.0,6
59,other,840.0,2.0,45.0,2
60,other,4395.0,3.0,240.0,3
61,Ganga Nagar,845.0,2.0,55.0,2
